doid_id	drugbank_id	disease	drug	category	n_curators	n_resources	compound_id	disease_id
DOID:10652	DB00843	Alzheimer's disease	Donepezil	DM	2	1	Q415081	Q11081
DOID:10652	DB00674	Alzheimer's disease	Galantamine	DM	1	4	Q412690	Q11081
DOID:10652	DB01043	Alzheimer's disease	Memantine	DM	1	3	Q412189	Q11081
DOID:10652	DB00989	Alzheimer's disease	Rivastigmine	DM	1	3	Q411887	Q11081
DOID:10652	DB00245	Alzheimer's disease	Benzatropine	SYM	3	1	Q415026	Q11081
DOID:10652	DB00502	Alzheimer's disease	Haloperidol	SYM	2	1	Q251347	Q11081
DOID:10652	DB01224	Alzheimer's disease	Quetiapine	SYM	2	1	Q408535	Q11081
DOID:10652	DB00268	Alzheimer's disease	Ropinirole	SYM	2	1	Q420590	Q11081
DOID:10652	DB01037	Alzheimer's disease	Selegiline	SYM	2	1	Q402633	Q11081
DOID:10652	DB00810	Alzheimer's disease	Biperiden	NOT	2	1	Q414914	Q11081
DOID:10652	DB00190	Alzheimer's disease	Carbidopa	NOT	3	1	Q414225	Q11081
DOID:10652	DB00413	Alzheimer's disease	Pramipexole	NOT	3	1	Q421304	Q11081
DOID:10652	DB00387	Alzheimer's disease	Procyclidine	NOT	3	1	Q268997	Q11081
DOID:10652	DB00747	Alzheimer's disease	Scopolamine	NOT	3	1	Q337188	Q11081
DOID:10652	DB00313	Alzheimer's disease	Valproic Acid	NOT	3	2	Q240642	Q11081
DOID:10652	DB00163	Alzheimer's disease	Vitamin E	NOT	3	1	Q158348	Q11081
DOID:9206	DB00736	Barrett's esophagus	Esomeprazole	DM	3	1	Q553223	Q808892
DOID:9206	DB00338	Barrett's esophagus	Omeprazole	DM	3	1	Q422210	Q808892
DOID:8778	DB00993	Crohn's disease	Azathioprine	DM	3	1	Q18939	Q1472
DOID:8778	DB01014	Crohn's disease	Balsalazide	DM	3	1	Q347337	Q1472
DOID:8778	DB01033	Crohn's disease	Mercaptopurine	DM	3	1	Q418529	Q1472
DOID:8778	DB00244	Crohn's disease	Mesalazine	DM	3	1	Q412479	Q1472
DOID:8778	DB00635	Crohn's disease	Prednisone	DM	2	1	Q424972	Q1472
DOID:8778	DB00795	Crohn's disease	Sulfasalazine	DM	3	1	Q420035	Q1472
DOID:8778	DB00572	Crohn's disease	Atropine	SYM	2	1	Q26272	Q1472
DOID:8778	DB00424	Crohn's disease	Hyoscyamine	SYM	3	1	Q413762	Q1472
DOID:8778	DB00158	Crohn's disease	Folic Acid	NOT	3	1	Q127060	Q1472
DOID:8778	DB00916	Crohn's disease	Metronidazole	NOT	2	1	Q169569	Q1472
DOID:11119	DB00575	Gilles de la Tourette syndrome	Clonidine	SYM	3	2	Q412221	Q191779
DOID:11119	DB00502	Gilles de la Tourette syndrome	Haloperidol	SYM	2	3	Q251347	Q191779
DOID:11119	DB00657	Gilles de la Tourette syndrome	Mecamylamine	SYM	3	1	Q3332124	Q191779
DOID:11119	DB00334	Gilles de la Tourette syndrome	Olanzapine	SYM	3	1	Q201872	Q191779
DOID:11119	DB01186	Gilles de la Tourette syndrome	Pergolide	SYM	2	1	Q415752	Q191779
DOID:11119	DB00850	Gilles de la Tourette syndrome	Perphenazine	SYM	3	1	Q423520	Q191779
DOID:11119	DB01100	Gilles de la Tourette syndrome	Pimozide	SYM	3	1	Q144085	Q191779
DOID:11119	DB00734	Gilles de la Tourette syndrome	Risperidone	SYM	3	2	Q412443	Q191779
DOID:11119	DB00246	Gilles de la Tourette syndrome	Ziprasidone	SYM	3	2	Q205517	Q191779
DOID:12361	DB00763	Graves' disease	Methimazole	DM	3	2	Q419663	
DOID:12361	DB00550	Graves' disease	Propylthiouracil	DM	3	3	Q377342	
DOID:12361	DB00509	Graves' disease	Dextrothyroxine	NOT	2	1	Q5268499	
DOID:12361	DB00451	Graves' disease	Levothyroxine	NOT	2	2	Q773449	
DOID:12361	DB00279	Graves' disease	Liothyronine	NOT	3	1	Q327362	
DOID:12361	DB01583	Graves' disease	Liotrix	NOT	3	1	Q6556102	
DOID:13378	DB00945	Kawasaki disease	Acetylsalicylic acid	DM	3	1	Q18216	Q265936
DOID:5408	DB00630	Paget's disease of bone	Alendronate	DM	3	2	Q420057	Q2035074
DOID:5408	DB01077	Paget's disease of bone	Etidronic acid	DM	3	1	Q2758338	Q2035074
DOID:5408	DB00282	Paget's disease of bone	Pamidronate	DM	3	2	Q627499	Q2035074
DOID:5408	DB00884	Paget's disease of bone	Risedronate	DM	3	2	Q408724	Q2035074
DOID:5408	DB01133	Paget's disease of bone	Tiludronate	DM	3	2	Q2823312	Q2035074
DOID:5408	DB00399	Paget's disease of bone	Zoledronate	DM	3	3	Q218507	Q2035074
DOID:14330	DB00915	Parkinson's disease	Amantadine	SYM	2	1	Q409761	Q11085
DOID:14330	DB00714	Parkinson's disease	Apomorphine	SYM	3	2	Q269111	Q11085
DOID:14330	DB00572	Parkinson's disease	Atropine	SYM	2	1	Q26272	Q11085
DOID:14330	DB00245	Parkinson's disease	Benzatropine	SYM	3	2	Q415026	Q11085
DOID:14330	DB00810	Parkinson's disease	Biperiden	SYM	3	1	Q414914	Q11085
DOID:14330	DB01200	Parkinson's disease	Bromocriptine	SYM	3	3	Q413581	Q11085
DOID:14330	DB00248	Parkinson's disease	Cabergoline	SYM	3	1	Q423308	Q11085
DOID:14330	DB00190	Parkinson's disease	Carbidopa	SYM	3	3	Q414225	Q11085
DOID:14330	DB01068	Parkinson's disease	Clonazepam	SYM	3	1	Q407988	Q11085
DOID:14330	DB01075	Parkinson's disease	Diphenhydramine	SYM	2	1	Q413486	Q11085
DOID:14330	DB00494	Parkinson's disease	Entacapone	SYM	3	3	Q416444	Q11085
DOID:14330	DB00687	Parkinson's disease	Fludrocortisone	SYM	2	1	Q2697578	Q11085
DOID:14330	DB00996	Parkinson's disease	Gabapentin	SYM	2	1	Q410352	Q11085
DOID:14330	DB00424	Parkinson's disease	Hyoscyamine	SYM	3	1	Q413762	Q11085
DOID:14330	DB01235	Parkinson's disease	L-DOPA	SYM	3	2	Q300989	Q11085
DOID:14330	DB01043	Parkinson's disease	Memantine	SYM	3	1	Q412189	Q11085
DOID:14330	DB00745	Parkinson's disease	Modafinil	SYM	3	1	Q410441	Q11085
DOID:14330	DB01186	Parkinson's disease	Pergolide	SYM	2	2	Q415752	Q11085
DOID:14330	DB00413	Parkinson's disease	Pramipexole	SYM	3	4	Q421304	Q11085
DOID:14330	DB00387	Parkinson's disease	Procyclidine	SYM	3	1	Q268997	Q11085
DOID:14330	DB00980	Parkinson's disease	Ramelteon	SYM	3	1	Q417689	Q11085
DOID:14330	DB01367	Parkinson's disease	Rasagiline	SYM	3	4	Q420685	Q11085
DOID:14330	DB00989	Parkinson's disease	Rivastigmine	SYM	3	4	Q411887	Q11085
DOID:14330	DB00268	Parkinson's disease	Ropinirole	SYM	3	4	Q420590	Q11085
DOID:14330	DB05271	Parkinson's disease	Rotigotine	SYM	3	1	Q411985	Q11085
DOID:14330	DB01037	Parkinson's disease	Selegiline	SYM	3	2	Q402633	Q11085
DOID:14330	DB00323	Parkinson's disease	Tolcapone	SYM	3	3	Q413840	Q11085
DOID:14330	DB00376	Parkinson's disease	Trihexyphenidyl	SYM	3	1	Q2991856	Q11085
DOID:14330	DB00215	Parkinson's disease	Citalopram	NOT	1	1	Q409672	Q11085
DOID:14330	DB00985	Parkinson's disease	Dimenhydrinate	NOT	2	1	Q420439	Q11085
DOID:14330	DB01175	Parkinson's disease	Escitalopram	NOT	1	1	Q423757	Q11085
DOID:14330	DB01224	Parkinson's disease	Quetiapine	NOT	2	1	Q408535	Q11085
DOID:14330	DB00747	Parkinson's disease	Scopolamine	NOT	3	1	Q337188	Q11085
DOID:14330	DB01104	Parkinson's disease	Sertraline	NOT	1	1	Q407617	Q11085
DOID:14330	DB00425	Parkinson's disease	Zolpidem	NOT	2	1	Q218842	Q11085
DOID:635	DB01048	acquired immunodeficiency syndrome	Abacavir	DM	3	1	Q304330	Q12199
DOID:635	DB00701	acquired immunodeficiency syndrome	Amprenavir	DM	3	1	Q422198	Q12199
DOID:635	DB00705	acquired immunodeficiency syndrome	Delavirdine	DM	3	1	Q370244	Q12199
DOID:635	DB00900	acquired immunodeficiency syndrome	Didanosine	DM	3	1	Q422606	Q12199
DOID:635	DB00625	acquired immunodeficiency syndrome	Efavirenz	DM	3	1	Q422645	Q12199
DOID:635	DB00224	acquired immunodeficiency syndrome	Indinavir	DM	3	1	Q425490	Q12199
DOID:635	DB00709	acquired immunodeficiency syndrome	Lamivudine	DM	3	1	Q422631	Q12199
DOID:635	DB01601	acquired immunodeficiency syndrome	Lopinavir	DM	3	1	Q422585	Q12199
DOID:635	DB00220	acquired immunodeficiency syndrome	Nelfinavir	DM	3	1	Q423366	Q12199
DOID:635	DB00238	acquired immunodeficiency syndrome	Nevirapine	DM	3	1	Q263713	Q12199
DOID:635	DB00503	acquired immunodeficiency syndrome	Ritonavir	DM	3	2	Q422618	Q12199
DOID:635	DB01232	acquired immunodeficiency syndrome	Saquinavir	DM	3	1	Q422654	Q12199
DOID:635	DB00649	acquired immunodeficiency syndrome	Stavudine	DM	3	1	Q423984	Q12199
DOID:635	DB00495	acquired immunodeficiency syndrome	Zidovudine	DM	3	1	Q198504	Q12199
DOID:635	DB00787	acquired immunodeficiency syndrome	Aciclovir	NOT	2	1	Q147101	Q12199
DOID:635	DB00997	acquired immunodeficiency syndrome	Doxorubicin	NOT	2	1	Q18936	Q12199
DOID:635	DB00445	acquired immunodeficiency syndrome	Epirubicin	NOT	2	1	Q425122	Q12199
DOID:635	DB00196	acquired immunodeficiency syndrome	Fluconazole	NOT	3	1	Q411478	Q12199
DOID:635	DB01004	acquired immunodeficiency syndrome	Ganciclovir	NOT	2	1	Q417640	Q12199
DOID:635	DB00615	acquired immunodeficiency syndrome	Rifabutin	NOT	2	1	Q1135705	Q12199
DOID:0050741	DB00659	alcohol dependence	Acamprosate	DM	3	1	Q337668	Q4713263
DOID:0050741	DB00215	alcohol dependence	Citalopram	DM	2	1	Q409672	Q4713263
DOID:0050741	DB00822	alcohol dependence	Disulfiram	DM	2	1	Q409665	Q4713263
DOID:0050741	DB00704	alcohol dependence	Naltrexone	DM	2	1	Q409587	Q4713263
DOID:0050741	DB00475	alcohol dependence	Chlordiazepoxide	SYM	3	1	Q178566	Q4713263
DOID:0050741	DB00904	alcohol dependence	Ondansetron	SYM	2	1	Q410011	Q4713263
DOID:0050741	DB00158	alcohol dependence	Folic Acid	NOT	3	1	Q127060	Q4713263
DOID:4481	DB00443	allergic rhinitis	Betamethasone	DM	3	1	Q416132	Q272436
DOID:4481	DB00341	allergic rhinitis	Cetirizine	DM	2	1	Q423075	Q272436
DOID:4481	DB00434	allergic rhinitis	Cyproheptadine	DM	2	1	Q417884	Q272436
DOID:4481	DB00967	allergic rhinitis	Desloratadine	DM	2	1	Q418060	Q272436
DOID:4481	DB01234	allergic rhinitis	Dexamethasone	DM	2	1	Q422252	Q272436
DOID:4481	DB00985	allergic rhinitis	Dimenhydrinate	DM	1	1	Q420439	Q272436
DOID:4481	DB01075	allergic rhinitis	Diphenhydramine	DM	1	1	Q413486	Q272436
DOID:4481	DB00180	allergic rhinitis	Flunisolide	DM	1	1	Q3746835	Q272436
DOID:4481	DB00741	allergic rhinitis	Hydrocortisone	DM	2	1	Q190875	Q272436
DOID:4481	DB00455	allergic rhinitis	Loratadine	DM	1	1	Q424049	Q272436
DOID:4481	DB00959	allergic rhinitis	Methylprednisolone	DM	2	1	Q417222	Q272436
DOID:4481	DB00471	allergic rhinitis	Montelukast	DM	3	1	Q417767	Q272436
DOID:4481	DB00768	allergic rhinitis	Olopatadine	DM	2	1	Q3267092	Q272436
DOID:4481	DB00860	allergic rhinitis	Prednisolone	DM	2	1	Q11426176	Q272436
DOID:4481	DB00620	allergic rhinitis	Triamcinolone	DM	2	1	Q1074056	Q272436
DOID:4481	DB01364	allergic rhinitis	Ephedrine	SYM	3	1	Q219626	Q272436
DOID:4481	DB00668	allergic rhinitis	Epinephrine	SYM	3	1	Q132621	Q272436
DOID:4481	DB00935	allergic rhinitis	Oxymetazoline	SYM	2	1	Q417813	Q272436
DOID:4481	DB00852	allergic rhinitis	Pseudoephedrine	SYM	2	1	Q263958	Q272436
DOID:4481	DB01001	allergic rhinitis	Salbutamol	SYM	3	1	Q410358	Q272436
DOID:4481	DB00535	allergic rhinitis	Cefdinir	NOT	3	1	Q1453445	Q272436
DOID:4481	DB01190	allergic rhinitis	Clindamycin	NOT	3	1	Q422273	Q272436
DOID:4481	DB00736	allergic rhinitis	Esomeprazole	NOT	3	1	Q553223	Q272436
DOID:4481	DB00338	allergic rhinitis	Omeprazole	NOT	3	1	Q422210	Q272436
DOID:986	DB00620	alopecia areata	Triamcinolone	DM	3	1	Q1074056	Q5075435
DOID:332	DB00740	amyotrophic lateral sclerosis	Riluzole	DM	2	2	Q415744	Q206901
DOID:332	DB00514	amyotrophic lateral sclerosis	Dextromethorphan	SYM	3	1	Q407781	Q206901
DOID:2355	DB00513	anemia	Aminocaproic Acid	NOT	3	1	Q255968	Q5445
DOID:2355	DB00443	anemia	Betamethasone	NOT	3	1	Q416132	Q5445
DOID:2355	DB01262	anemia	Decitabine	NOT	3	1	Q1181878	Q5445
DOID:2355	DB08826	anemia	Deferiprone	NOT	1	1	Q749664	Q5445
DOID:2355	DB01234	anemia	Dexamethasone	NOT	3	1	Q422252	Q5445
DOID:2355	DB00949	anemia	Felbamate	NOT	3	1	Q421301	Q5445
DOID:2355	DB00158	anemia	Folic Acid	NOT	1	3	Q127060	Q5445
DOID:2355	DB00959	anemia	Methylprednisolone	NOT	1	1	Q417222	Q5445
DOID:2355	DB00860	anemia	Prednisolone	NOT	3	1	Q11426176	Q5445
DOID:2355	DB00635	anemia	Prednisone	NOT	2	1	Q424972	Q5445
DOID:2355	DB00165	anemia	Pyridoxine	NOT	1	1	Q423746	Q5445
DOID:2355	DB00620	anemia	Triamcinolone	NOT	3	1	Q1074056	Q5445
DOID:2355	DB00126	anemia	Vitamin C	NOT	2	2	Q199678	Q5445
DOID:2355	DB00163	anemia	Vitamin E	NOT	2	1	Q158348	Q5445
DOID:7147	DB00443	ankylosing spondylitis	Betamethasone	DM	2	1	Q416132	Q52849
DOID:7147	DB01234	ankylosing spondylitis	Dexamethasone	DM	2	1	Q422252	Q52849
DOID:7147	DB00563	ankylosing spondylitis	Methotrexate	DM	3	1	Q422232	Q52849
DOID:7147	DB00959	ankylosing spondylitis	Methylprednisolone	DM	1	1	Q417222	Q52849
DOID:7147	DB00860	ankylosing spondylitis	Prednisolone	DM	2	1	Q11426176	Q52849
DOID:7147	DB00635	ankylosing spondylitis	Prednisone	DM	1	2	Q424972	Q52849
DOID:7147	DB00795	ankylosing spondylitis	Sulfasalazine	DM	3	1	Q420035	Q52849
DOID:7147	DB00620	ankylosing spondylitis	Triamcinolone	DM	2	1	Q1074056	Q52849
DOID:7147	DB00482	ankylosing spondylitis	Celecoxib	SYM	3	3	Q408801	Q52849
DOID:7147	DB00586	ankylosing spondylitis	Diclofenac	SYM	3	2	Q244408	Q52849
DOID:7147	DB00328	ankylosing spondylitis	Indomethacin	SYM	3	3	Q409231	Q52849
DOID:7147	DB00814	ankylosing spondylitis	Meloxicam	SYM	3	1	Q414028	Q52849
DOID:7147	DB00788	ankylosing spondylitis	Naproxen	SYM	3	2	Q1215575	Q52849
DOID:7147	DB00554	ankylosing spondylitis	Piroxicam	SYM	2	2	Q408676	Q52849
DOID:7147	DB00500	ankylosing spondylitis	Tolmetin	SYM	2	1	Q3992411	Q52849
DOID:7147	DB00924	ankylosing spondylitis	Cyclobenzaprine	NOT	2	1	Q5198674	Q52849
DOID:7147	DB00736	ankylosing spondylitis	Esomeprazole	NOT	2	1	Q553223	Q52849
DOID:7147	DB00158	ankylosing spondylitis	Folic Acid	NOT	3	1	Q127060	Q52849
DOID:7147	DB00338	ankylosing spondylitis	Omeprazole	NOT	2	1	Q422210	Q52849
DOID:2841	DB01223	asthma	Aminophylline	DM	1	3	Q471763	Q35869
DOID:2841	DB01274	asthma	Arformoterol	DM	2	1	Q4789167	Q35869
DOID:2841	DB00394	asthma	Beclomethasone	DM	3	2	Q421475	Q35869
DOID:2841	DB00443	asthma	Betamethasone	DM	2	2	Q416132	Q35869
DOID:2841	DB01222	asthma	Budesonide	DM	3	1	Q422212	Q35869
DOID:2841	DB01410	asthma	Ciclesonide	DM	3	3	Q5119448	Q35869
DOID:2841	DB01003	asthma	Cromoglicic acid	DM	2	3	Q416427	Q35869
DOID:2841	DB01234	asthma	Dexamethasone	DM	1	3	Q422252	Q35869
DOID:2841	DB00651	asthma	Dyphylline	DM	1	1	Q1073333	Q35869
DOID:2841	DB00180	asthma	Flunisolide	DM	2	2	Q3746835	Q35869
DOID:2841	DB00588	asthma	Fluticasone Propionate	DM	1	2	Q8564098	Q35869
DOID:2841	DB08906	asthma	Fluticasone furoate	DM	1	1	Q2166700	Q35869
DOID:2841	DB00983	asthma	Formoterol	DM	2	2	Q637247	Q35869
DOID:2841	DB00741	asthma	Hydrocortisone	DM	1	1	Q190875	Q35869
DOID:2841	DB05039	asthma	Indacaterol	DM	2	1	Q425654	Q35869
DOID:2841	DB00332	asthma	Ipratropium bromide	DM	3	1	Q424294	Q35869
DOID:2841	DB00221	asthma	Isoetarine	DM	1	1	Q6085646	Q35869
DOID:2841	DB01064	asthma	Isoprenaline	DM	1	1	Q415550	Q35869
DOID:2841	DB00920	asthma	Ketotifen	DM	2	1	Q2458673	Q35869
DOID:2841	DB00455	asthma	Loratadine	DM	1	1	Q424049	Q35869
DOID:2841	DB00959	asthma	Methylprednisolone	DM	2	3	Q417222	Q35869
DOID:2841	DB00764	asthma	Mometasone	DM	2	4	Q28208887	Q35869
DOID:2841	DB00471	asthma	Montelukast	DM	3	4	Q417767	Q35869
DOID:2841	DB00716	asthma	Nedocromil	DM	2	2	Q416706	Q35869
DOID:2841	DB00816	asthma	Orciprenaline	DM	2	1	Q416473	Q35869
DOID:2841	DB01291	asthma	Pirbuterol	DM	2	1	Q1236526	Q35869
DOID:2841	DB00860	asthma	Prednisolone	DM	2	3	Q11426176	Q35869
DOID:2841	DB00635	asthma	Prednisone	DM	2	4	Q424972	Q35869
DOID:2841	DB01001	asthma	Salbutamol	DM	1	3	Q410358	Q35869
DOID:2841	DB00938	asthma	Salmeterol	DM	2	1	Q424333	Q35869
DOID:2841	DB00871	asthma	Terbutaline	DM	2	1	Q424340	Q35869
DOID:2841	DB00277	asthma	Theophylline	DM	2	1	Q407308	Q35869
DOID:2841	DB01409	asthma	Tiotropium	DM	2	2	Q424316	Q35869
DOID:2841	DB00620	asthma	Triamcinolone	DM	2	3	Q1074056	Q35869
DOID:2841	DB05389	asthma	WF10	DM	2	1	Q15410177	Q35869
DOID:2841	DB00549	asthma	Zafirlukast	DM	3	2	Q928378	Q35869
DOID:2841	DB00744	asthma	Zileuton	DM	2	1	Q202998	Q35869
DOID:2841	DB01364	asthma	Ephedrine	SYM	3	2	Q219626	Q35869
DOID:2841	DB00668	asthma	Epinephrine	SYM	3	4	Q132621	Q35869
DOID:2841	DB00852	asthma	Pseudoephedrine	SYM	3	2	Q263958	Q35869
DOID:2841	DB00535	asthma	Cefdinir	NOT	3	1	Q1453445	Q35869
DOID:2841	DB00537	asthma	Ciprofloxacin	NOT	2	1	Q256602	Q35869
DOID:2841	DB01137	asthma	Levofloxacin	NOT	3	1	Q424193	Q35869
DOID:2841	DB00218	asthma	Moxifloxacin	NOT	2	1	Q424940	Q35869
DOID:2841	DB00440	asthma	Trimethoprim	NOT	3	1	Q422665	Q35869
DOID:1936	DB00973	atherosclerosis	Ezetimibe	DM	3	1	Q417997	Q12252367
DOID:1936	DB00227	atherosclerosis	Lovastatin	DM	3	2	Q417740	Q12252367
DOID:1936	DB00627	atherosclerosis	Niacin	DM	2	2	Q134658	Q12252367
DOID:1936	DB00175	atherosclerosis	Pravastatin	DM	3	1	Q1240093	Q12252367
DOID:1936	DB01098	atherosclerosis	Rosuvastatin	DM	3	2	Q415159	Q12252367
DOID:1936	DB00641	atherosclerosis	Simvastatin	DM	3	1	Q670131	Q12252367
DOID:1936	DB00758	atherosclerosis	Clopidogrel	NOT	3	2	Q410237	Q12252367
DOID:1936	DB01240	atherosclerosis	Epoprostenol	NOT	3	1	Q9254396	Q12252367
DOID:1936	DB00797	atherosclerosis	Tolazoline	NOT	3	1	Q413772	Q12252367
DOID:3310	DB00443	atopic dermatitis	Betamethasone	DM	3	4	Q416132	Q268667
DOID:3310	DB01260	atopic dermatitis	Desonide	DM	2	2	Q904011	Q268667
DOID:3310	DB01234	atopic dermatitis	Dexamethasone	DM	2	3	Q422252	Q268667
DOID:3310	DB00985	atopic dermatitis	Dimenhydrinate	DM	1	1	Q420439	Q268667
DOID:3310	DB01075	atopic dermatitis	Diphenhydramine	DM	1	1	Q413486	Q268667
DOID:3310	DB00591	atopic dermatitis	Fluocinolone Acetonide	DM	3	2	Q924467	Q268667
DOID:3310	DB01047	atopic dermatitis	Fluocinonide	DM	3	1	Q5462791	Q268667
DOID:3310	DB00741	atopic dermatitis	Hydrocortisone	DM	3	2	Q190875	Q268667
DOID:3310	DB00455	atopic dermatitis	Loratadine	DM	2	1	Q424049	Q268667
DOID:3310	DB00959	atopic dermatitis	Methylprednisolone	DM	2	1	Q417222	Q268667
DOID:3310	DB00764	atopic dermatitis	Mometasone	DM	2	1	Q28208887	Q268667
DOID:3310	DB00337	atopic dermatitis	Pimecrolimus	DM	3	4	Q417489	Q268667
DOID:3310	DB00860	atopic dermatitis	Prednisolone	DM	2	1	Q11426176	Q268667
DOID:3310	DB00635	atopic dermatitis	Prednisone	DM	2	2	Q424972	Q268667
DOID:3310	DB00864	atopic dermatitis	Tacrolimus	DM	3	4	Q411648	Q268667
DOID:3310	DB00620	atopic dermatitis	Triamcinolone	DM	3	2	Q1074056	Q268667
DOID:3310	DB01142	atopic dermatitis	Doxepin	SYM	2	1	Q416791	Q268667
DOID:3310	DB00427	atopic dermatitis	Triprolidine	SYM	3	1	Q417654	Q268667
DOID:3310	DB01190	atopic dermatitis	Clindamycin	NOT	3	1	Q422273	Q268667
DOID:3310	DB00410	atopic dermatitis	Mupirocin	NOT	2	1	Q413578	Q268667
DOID:1094	DB00182	attention deficit hyperactivity disorder	Amphetamine	SYM	3	1	Q179452	Q181923
DOID:1094	DB00289	attention deficit hyperactivity disorder	Atomoxetine	SYM	3	1	Q417240	Q181923
DOID:1094	DB01156	attention deficit hyperactivity disorder	Bupropion	SYM	3	1	Q834280	Q181923
DOID:1094	DB00575	attention deficit hyperactivity disorder	Clonidine	SYM	3	1	Q412221	Q181923
DOID:1094	DB01151	attention deficit hyperactivity disorder	Desipramine	SYM	3	1	Q423288	Q181923
DOID:1094	DB01576	attention deficit hyperactivity disorder	Dextroamphetamine	SYM	3	1	Q1706418	Q181923
DOID:1094	DB01018	attention deficit hyperactivity disorder	Guanfacine	SYM	3	1	Q5613599	Q181923
DOID:1094	DB00458	attention deficit hyperactivity disorder	Imipramine	SYM	3	1	Q58396	Q181923
DOID:1094	DB01255	attention deficit hyperactivity disorder	Lisdexamfetamine	SYM	3	1	Q6558704	Q181923
DOID:1094	DB01577	attention deficit hyperactivity disorder	Methamphetamine	SYM	3	1	Q191924	Q181923
DOID:1094	DB00422	attention deficit hyperactivity disorder	Methylphenidate	SYM	3	1	Q422112	Q181923
DOID:1094	DB00745	attention deficit hyperactivity disorder	Modafinil	SYM	2	1	Q410441	Q181923
DOID:1094	DB00540	attention deficit hyperactivity disorder	Nortriptyline	SYM	3	1	Q61387	Q181923
DOID:1094	DB00285	attention deficit hyperactivity disorder	Venlafaxine	SYM	3	1	Q898407	Q181923
DOID:12849	DB01238	autistic disorder	Aripiprazole	SYM	3	3	Q411188	Q38404
DOID:12849	DB00289	autistic disorder	Atomoxetine	SYM	3	1	Q417240	Q38404
DOID:12849	DB00245	autistic disorder	Benzatropine	SYM	3	1	Q415026	Q38404
DOID:12849	DB01068	autistic disorder	Clonazepam	SYM	2	1	Q407988	Q38404
DOID:12849	DB00575	autistic disorder	Clonidine	SYM	3	1	Q412221	Q38404
DOID:12849	DB01224	autistic disorder	Quetiapine	SYM	3	1	Q408535	Q38404
DOID:12849	DB00734	autistic disorder	Risperidone	SYM	3	3	Q412443	Q38404
DOID:12849	DB01104	autistic disorder	Sertraline	SYM	3	1	Q407617	Q38404
DOID:12849	DB00583	autistic disorder	L-Carnitine	NOT	2	1	Q20735709	Q38404
DOID:14227	DB00882	azoospermia	Clomifene	DM	2	1	Q418730	Q794026
